Reference,Value / candidate,Package / envelope,Status,Notes
J1,USB-C USB2 receptacle,USB4105 family - exact suffix/footprint pending,connector release pending,
F1,2 A fuse target,1206 fuse - trip/derating TBD,draft,
D1,5 V VBUS TVS target,SMF - exact part/clamp TBD,ESD release pending,
U1,BQ24074RGTR,VQFN16 3x3 EP,draft,
R1,1.24k 1%,0603,draft,
R2,1.78k 1%,0603,draft,
C1,4.7uF 16V X7R,0805,draft,
C2,10uF 10V X7R,0805,draft,
C3,22uF 10V X7R,0805,draft,
J2,Protected battery + NTC,Keyed 3-pin >=4 A harness - TBD,pack/harness release pending,
U2,TUSB320LAIRWBR,X2QFN12 1.6x1.6,draft,
R3,900k 1%,0603,draft,
R4,10k,0603,draft,
C4,100nF 10V,0603,draft,
U3,SN74LVC1G04DBVR,SOT23-5,draft,
U4,SN74LVC1G32DBVR,SOT23-5,draft,
Q1,2N7002,SOT23-3,draft,Low-current open-drain level translation; verify chosen vendor pinout.
U12,SN74LVC1G04DBVR,SOT23-5,draft,
R8,100k,0603,draft,
C7,100nF 10V,0603,draft,
R5,47k,0603,draft,
R6,100k,0603,draft,
C5,100nF 10V,0603,draft,
C6,100nF 10V,0603,draft,
R7,2.2k,0603,draft,
D2,Amber charge LED,0603,draft,
D3,TPD2EUSB30DRTR,DRT 3-pin,draft,5.5V standoff; verify CC transient clamping on PCB
U5,LTC2954ITS8-1,TSOT23-8,draft,
SW1,POWER momentary NO,6x6 tactile; actuator envelope provisional,draft,
C10,100nF 10V,0603,draft,
C11,47nF 10%,0603,draft,
C12,1uF 10% timer,0805,draft,
R10,100k,0603,draft,
R11,100k,0603,draft,
R12,100k,0603,draft,
U6,TPS22965DSGR,WSON8 2x2 EP,draft,
C13,10nF 25V X7R,0603,draft,
C14,10uF 10V X7R,0805,draft,
C15,10uF 10V X7R,0805,draft,
U7,TPS63070RNMR,VQFN-HR15 2.5x3,draft,Forced PWM. Footprint is not an ordinary QFN16.
L1,1.5uH XFL4020-152ME,4x4x2.1,draft,
C20,10uF 10V X7R,0805,draft,
C21,10uF 10V X7R,0805,draft,
C22,100nF 10V,0603,draft,
C23,10uF 10V X7R,0805,draft,
C24,22uF 10V X7R,0805,draft,
C25,22uF 10V X7R,0805,draft,
C26,22uF 10V X7R,0805,draft,
R20,470k 0.1%,0603,draft,
R21,150k 0.1%,0603,draft,
R22,10k,0603,draft,
U8,TPS63070RNMR,VQFN-HR15 2.5x3,draft,Forced PWM. Footprint is not an ordinary QFN16.
L2,1.5uH XFL4020-152ME,4x4x2.1,draft,
C30,10uF 10V X7R,0805,draft,
C31,10uF 10V X7R,0805,draft,
C32,100nF 10V,0603,draft,
C33,10uF 10V X7R,0805,draft,
C34,22uF 10V X7R,0805,draft,
C35,22uF 10V X7R,0805,draft,
C36,22uF 10V X7R,0805,draft,
R24,680k 0.1%,0603,draft,
R25,130k 0.1%,0603,draft,
R26,10k,0603,draft,
U9,ESP32-S3-WROOM-1-N16R8,18x25.5 module; antenna keepout,draft,
R30,10k,0603,draft,
C40,1uF 10V,0603,draft,
R31,10k,0603,draft,
SW2,BOOT momentary NO,3x6 tactile - provisional,draft,
SW3,RESET momentary NO,3x6 tactile - provisional,draft,
C41,47uF 6.3V X7R,1206,draft,
C42,10uF 10V X7R,0805,draft,
C43,100nF 10V,0603,draft,
U10,TS3USB221ARSER,UQFN10 RSE,draft,
R32,22R,0603,draft,
R33,22R,0603,draft,
C44,100nF 10V,0603,draft,
J3,UART service pads,6 test pads; fixture must not power VREF,draft,
D4,TPD2EUSB30DRTR,DRT 3-pin,draft,5.5V standoff; verify USB signal integrity and clamping
J4,microSD 4-bit socket,DM3AT family - contact/pad mapping must be checked,connector release pending,
R40,33R,0603,draft,
R41,10k,0603,draft,
R42,10k,0603,draft,
R43,10k,0603,draft,
R44,10k,0603,draft,
R45,10k,0603,draft,
C50,22uF 10V X7R,0805,draft,
C51,100nF 10V,0603,draft,
J5,1.3in SPI display module,Carrier-defined 8-pin connector; module with BL driver,display/connector release pending,
C52,10uF 10V X7R,0805,draft,
R46,100k,0603,draft,
J6,ReSpeaker logic harness,Carrier-defined keyed 2x6 >=1.5 A; exact family TBD,module-side mapping pending,
C60,22uF 10V X7R,0805,draft,
C61,100nF 10V,0603,draft,
R50,10k,0603,draft,
J7,Speaker amplifier FROM module,Keyed 2-pin harness >=1 A; verify module mate,module-side mapping pending,
J8,Speaker output TO speaker,Keyed 2-pin >=1 A,draft,
SW4,VOLUME +,6x6 tactile - actuator provisional,draft,
R51,1k,0603,draft,
R52,10k,0603,draft,
C62,100nF 10V,0603,draft,
SW5,VOLUME -,6x6 tactile - actuator provisional,draft,
R53,1k,0603,draft,
R54,10k,0603,draft,
C63,100nF 10V,0603,draft,
SW6,RECORD / STOP,6x6 tactile - actuator provisional,draft,
R55,1k,0603,draft,
R56,10k,0603,draft,
C64,100nF 10V,0603,draft,
U11,MAX17048G+T10,TDFN8 2x2 EP,draft,
C70,100nF 10V,0603,draft,
R60,4.7k,0603,draft,
R61,4.7k,0603,draft,
