Reference,Physical pin / defined connector contact,Pin name,Net
J1,A1,GND,GND
J1,A4,VBUS,VBUS_5V
J1,A5,CC1,CC1
J1,A6,D+,USB_DP
J1,A7,D-,USB_DM
J1,A8,SBU1,NC
J1,A9,VBUS,VBUS_5V
J1,A12,GND,GND
J1,B1,GND,GND
J1,B4,VBUS,VBUS_5V
J1,B5,CC2,CC2
J1,B6,D+,USB_DP
J1,B7,D-,USB_DM
J1,B8,SBU2,NC
J1,B9,VBUS,VBUS_5V
J1,B12,GND,GND
J1,S1,SHIELD,GND
F1,1,1,VBUS_5V
F1,2,2,USB_PROTECTED
D1,1,K,USB_PROTECTED
D1,2,A,GND
U1,1,TS,BAT_NTC
U1,2,BAT,BAT_PLUS
U1,3,BAT,BAT_PLUS
U1,4,CE,GND
U1,5,EN2,CHG_EN2
U1,6,EN1,CHG_SUSPEND
U1,7,PGOOD,NC
U1,8,VSS,GND
U1,9,CHG,CHARGING_N
U1,10,OUT,SYS_RAW
U1,11,OUT,SYS_RAW
U1,12,ILIM,ILIM_SET
U1,13,IN,USB_PROTECTED
U1,14,TMR,NC
U1,15,ITERM,NC
U1,16,ISET,CHG_SET
U1,17,EP,GND
R1,1,1,ILIM_SET
R1,2,2,GND
R2,1,1,CHG_SET
R2,2,2,GND
C1,1,1,USB_PROTECTED
C1,2,2,GND
C2,1,1,BAT_PLUS
C2,2,2,GND
C3,1,1,SYS_RAW
C3,2,2,GND
J2,1,PACK+,BAT_PLUS
J2,2,PACK-,GND
J2,3,10k NTC,BAT_NTC
U2,1,CC1,CC1
U2,2,CC2,CC2
U2,3,PORT,GND
U2,4,VBUS_DET,VBUS_SENSE
U2,5,ADDR,NC
U2,6,OUT3,NC
U2,7,OUT1,CC_LOW_CURRENT
U2,8,OUT2,NC
U2,9,ID,NC
U2,10,GND,GND
U2,11,EN_N,GND
U2,12,VDD,SYS_RAW
R3,1,1,VBUS_5V
R3,2,2,VBUS_SENSE
R4,1,1,SYS_RAW
R4,2,2,CC_LOW_CURRENT
C4,1,1,SYS_RAW
C4,2,2,GND
U3,1,NC,NC
U3,2,A,CC_LOW_CURRENT
U3,3,GND,GND
U3,4,Y,HIGH_CURRENT_OK
U3,5,VCC,SYS_RAW
U4,1,A,HIGH_CURRENT_OK
U4,2,B,CHG_SUSPEND
U4,3,GND,GND
U4,4,Y,CHG_EN2
U4,5,VCC,SYS_RAW
Q1,1,G,USB_SUSPEND
Q1,2,S,GND
Q1,3,D,SUSPEND_N_RAW
U12,1,NC,NC
U12,2,A,SUSPEND_N_RAW
U12,3,GND,GND
U12,4,Y,CHG_SUSPEND
U12,5,VCC,SYS_RAW
R8,1,1,SYS_RAW
R8,2,2,SUSPEND_N_RAW
C7,1,1,SYS_RAW
C7,2,2,GND
R5,1,1,USB_SUSPEND
R5,2,2,GND
R6,1,1,CHG_EN2
R6,2,2,GND
C5,1,1,SYS_RAW
C5,2,2,GND
C6,1,1,SYS_RAW
C6,2,2,GND
R7,1,1,SYS_RAW
R7,2,2,CHG_LED_A
D2,1,A,CHG_LED_A
D2,2,K,CHARGING_N
D3,1,IO1,CC1
D3,2,IO2,CC2
D3,3,GND,GND
U5,1,VIN,SYS_RAW
U5,2,PB,PWR_BUTTON
U5,3,ONT,PWR_ONT
U5,4,GND,GND
U5,5,INT,PWR_INT_N
U5,6,EN,SYS_ENABLE
U5,7,PDT,PWR_PDT
U5,8,KILL,POWER_HOLD
SW1,1,1,PWR_BUTTON
SW1,2,2,GND
C10,1,1,SYS_RAW
C10,2,2,GND
C11,1,1,PWR_ONT
C11,2,2,GND
C12,1,1,PWR_PDT
C12,2,2,GND
R10,1,1,SYS_RAW
R10,2,2,SYS_ENABLE
R11,1,1,V3V3
R11,2,2,PWR_INT_N
R12,1,1,V3V3
R12,2,2,POWER_HOLD
U6,1,VIN,SYS_RAW
U6,2,VIN,SYS_RAW
U6,3,ON,SYS_ENABLE
U6,4,VBIAS,SYS_RAW
U6,5,GND,GND
U6,6,CT,SWITCH_CT
U6,7,VOUT,SYS_SW
U6,8,VOUT,SYS_SW
U6,9,EP,GND
C13,1,1,SWITCH_CT
C13,2,2,GND
C14,1,1,SYS_RAW
C14,2,2,GND
C15,1,1,SYS_SW
C15,2,2,GND
U7,1,PS_SYNC,GND
U7,2,PG,NC
U7,3,VAUX,REG7_VAUX
U7,4,GND,GND
U7,5,FB,REG7_FB
U7,6,FB2,GND
U7,7,VOUT,V3V3
U7,8,VOUT,V3V3
U7,9,L2,REG7_L2
U7,10,PGND,GND
U7,11,L1,REG7_L1
U7,12,VIN,SYS_SW
U7,13,VIN,SYS_SW
U7,14,EN,REG7_EN
U7,15,VSEL,GND
L1,1,1,REG7_L1
L1,2,2,REG7_L2
C20,1,1,SYS_SW
C20,2,2,GND
C21,1,1,SYS_SW
C21,2,2,GND
C22,1,1,REG7_VAUX
C22,2,2,GND
C23,1,1,V3V3
C23,2,2,GND
C24,1,1,V3V3
C24,2,2,GND
C25,1,1,V3V3
C25,2,2,GND
C26,1,1,V3V3
C26,2,2,GND
R20,1,1,V3V3
R20,2,2,REG7_FB
R21,1,1,REG7_FB
R21,2,2,GND
R22,1,1,SYS_SW
R22,2,2,REG7_EN
U8,1,PS_SYNC,GND
U8,2,PG,NC
U8,3,VAUX,REG8_VAUX
U8,4,GND,GND
U8,5,FB,REG8_FB
U8,6,FB2,GND
U8,7,VOUT,V5_AUDIO
U8,8,VOUT,V5_AUDIO
U8,9,L2,REG8_L2
U8,10,PGND,GND
U8,11,L1,REG8_L1
U8,12,VIN,SYS_SW
U8,13,VIN,SYS_SW
U8,14,EN,REG8_EN
U8,15,VSEL,GND
L2,1,1,REG8_L1
L2,2,2,REG8_L2
C30,1,1,SYS_SW
C30,2,2,GND
C31,1,1,SYS_SW
C31,2,2,GND
C32,1,1,REG8_VAUX
C32,2,2,GND
C33,1,1,V5_AUDIO
C33,2,2,GND
C34,1,1,V5_AUDIO
C34,2,2,GND
C35,1,1,V5_AUDIO
C35,2,2,GND
C36,1,1,V5_AUDIO
C36,2,2,GND
R24,1,1,V5_AUDIO
R24,2,2,REG8_FB
R25,1,1,REG8_FB
R25,2,2,GND
R26,1,1,SYS_SW
R26,2,2,REG8_EN
U9,1,GND,GND
U9,2,3V3,V3V3
U9,3,EN,MCU_EN
U9,4,GPIO4,USB_SUSPEND
U9,5,GPIO5,AUDIO_BCLK
U9,6,GPIO6,AUDIO_FROM_DSP
U9,7,GPIO7,AUDIO_WS
U9,8,GPIO15,I2C_SCL
U9,9,GPIO16,I2C_SDA
U9,10,GPIO17,PWR_INT_N
U9,11,GPIO18,POWER_HOLD
U9,12,GPIO8,AUDIO_TO_DSP
U9,13,GPIO19,MCU_USB_DM
U9,14,GPIO20,MCU_USB_DP
U9,15,GPIO3,NC
U9,16,GPIO46,NC
U9,17,GPIO9,AUDIO_RESET_N
U9,18,GPIO10,LCD_CS
U9,19,GPIO11,LCD_MOSI
U9,20,GPIO12,LCD_CLK
U9,21,GPIO13,LCD_DC
U9,22,GPIO14,LCD_RST
U9,23,GPIO21,RECORD_N
U9,24,GPIO47,LCD_BL
U9,25,GPIO48,SD_D3
U9,26,GPIO45,NC
U9,27,GPIO0,BOOT_N
U9,28,GPIO35,NC
U9,29,GPIO36,NC
U9,30,GPIO37,NC
U9,31,GPIO38,SD_CLK
U9,32,GPIO39,SD_D0
U9,33,GPIO40,SD_CMD
U9,34,GPIO41,SD_D1
U9,35,GPIO42,SD_D2
U9,36,GPIO44,UART_RX
U9,37,GPIO43,UART_TX
U9,38,GPIO2,VOL_DOWN
U9,39,GPIO1,VOL_UP
U9,40,GND,GND
U9,41,EP,GND
R30,1,1,V3V3
R30,2,2,MCU_EN
C40,1,1,MCU_EN
C40,2,2,GND
R31,1,1,V3V3
R31,2,2,BOOT_N
SW2,1,1,BOOT_N
SW2,2,2,GND
SW3,1,1,MCU_EN
SW3,2,2,GND
C41,1,1,V3V3
C41,2,2,GND
C42,1,1,V3V3
C42,2,2,GND
C43,1,1,V3V3
C43,2,2,GND
U10,1,1D+,USB_DP_ISO
U10,2,1D-,USB_DM_ISO
U10,3,2D+,NC
U10,4,2D-,NC
U10,5,GND,GND
U10,6,OE_N,GND
U10,7,D-,USB_DM
U10,8,D+,USB_DP
U10,9,S,GND
U10,10,VCC,V3V3
R32,1,1,USB_DP_ISO
R32,2,2,MCU_USB_DP
R33,1,1,USB_DM_ISO
R33,2,2,MCU_USB_DM
C44,1,1,V3V3
C44,2,2,GND
J3,1,GND,GND
J3,2,TX,UART_TX
J3,3,RX,UART_RX
J3,4,EN,MCU_EN
J3,5,BOOT,BOOT_N
J3,6,VREF,V3V3
D4,1,IO1,USB_DP
D4,2,IO2,USB_DM
D4,3,GND,GND
J4,1,DAT2,SD_D2
J4,2,DAT3,SD_D3
J4,3,CMD,SD_CMD
J4,4,VDD,V3V3
J4,5,CLK,SD_CLK_CARD
J4,6,VSS,GND
J4,7,DAT0,SD_D0
J4,8,DAT1,SD_D1
J4,S,SHELL,GND
R40,1,1,SD_CLK
R40,2,2,SD_CLK_CARD
R41,1,1,V3V3
R41,2,2,SD_CMD
R42,1,1,V3V3
R42,2,2,SD_D0
R43,1,1,V3V3
R43,2,2,SD_D1
R44,1,1,V3V3
R44,2,2,SD_D2
R45,1,1,V3V3
R45,2,2,SD_D3
C50,1,1,V3V3
C50,2,2,GND
C51,1,1,V3V3
C51,2,2,GND
J5,1,VCC,V3V3
J5,2,GND,GND
J5,3,DIN,LCD_MOSI
J5,4,CLK,LCD_CLK
J5,5,CS,LCD_CS
J5,6,DC,LCD_DC
J5,7,RST,LCD_RST
J5,8,BL input,LCD_BL
C52,1,1,V3V3
C52,2,2,GND
R46,1,1,LCD_BL
R46,2,2,GND
J6,1,+5V,V5_AUDIO
J6,2,GND,GND
J6,3,BCLK,AUDIO_BCLK
J6,4,GND,GND
J6,5,WS,AUDIO_WS
J6,6,GND,GND
J6,7,DSP OUT,AUDIO_FROM_DSP
J6,8,DSP IN,AUDIO_TO_DSP
J6,9,SDA,I2C_SDA
J6,10,SCL,I2C_SCL
J6,11,RESET_N,AUDIO_RESET_N
J6,12,GND,GND
C60,1,1,V5_AUDIO
C60,2,2,GND
C61,1,1,V5_AUDIO
C61,2,2,GND
R50,1,1,V3V3
R50,2,2,AUDIO_RESET_N
J7,1,AMP+,SPK_PLUS
J7,2,AMP-,SPK_MINUS
J8,1,SPK+,SPK_PLUS
J8,2,SPK-,SPK_MINUS
SW4,1,1,VOL_UP_SW
SW4,2,2,GND
R51,1,1,VOL_UP_SW
R51,2,2,VOL_UP
R52,1,1,V3V3
R52,2,2,VOL_UP
C62,1,1,VOL_UP
C62,2,2,GND
SW5,1,1,VOL_DOWN_SW
SW5,2,2,GND
R53,1,1,VOL_DOWN_SW
R53,2,2,VOL_DOWN
R54,1,1,V3V3
R54,2,2,VOL_DOWN
C63,1,1,VOL_DOWN
C63,2,2,GND
SW6,1,1,RECORD_N_SW
SW6,2,2,GND
R55,1,1,RECORD_N_SW
R55,2,2,RECORD_N
R56,1,1,V3V3
R56,2,2,RECORD_N
C64,1,1,RECORD_N
C64,2,2,GND
U11,1,CTG,GND
U11,2,CELL,BAT_PLUS
U11,3,VDD,BAT_PLUS
U11,4,GND,GND
U11,5,ALRT,NC
U11,6,QSTRT,GND
U11,7,SCL,I2C_SCL
U11,8,SDA,I2C_SDA
U11,9,EP,GND
C70,1,1,BAT_PLUS
C70,2,2,GND
R60,1,1,V3V3
R60,2,2,I2C_SDA
R61,1,1,V3V3
R61,2,2,I2C_SCL
